Make,Model,Year,Engine Fuel Type,Engine HP,Engine Cylinders,Transmission Type,Driven_Wheels,Number of Doors,Market Category,Vehicle Size,Vehicle Style,highway MPG,city mpg,Popularity,MSRP
GMC,Sierra 1500 Classic,2007,regular unleaded,195.0,6.0,AUTOMATIC,four wheel drive,2.0,Flex Fuel,Large,Regular Cab Pickup,17,14,549,20960
Chevrolet,Silverado 1500,2015,regular unleaded,355.0,8.0,AUTOMATIC,four wheel drive,4.0,,Large,Crew Cab Pickup,22,16,1385,45120
Maserati,GranTurismo Convertible,2015,premium unleaded (required),454.0,8.0,AUTOMATIC,rear wheel drive,2.0,"Exotic,Factory Tuner,Luxury,High-Performance",Midsize,Convertible,20,13,238,182009
Lexus,RX 450h,2015,premium unleaded (required),295.0,6.0,AUTOMATIC,all wheel drive,4.0,"Crossover,Luxury,Hybrid",Midsize,4dr SUV,28,30,454,49020
Ford,F-250,1998,regular unleaded,220.0,8.0,MANUAL,four wheel drive,3.0,,Large,Extended Cab Pickup,16,13,5657,3269
Volkswagen,New Beetle,2009,regular unleaded,150.0,5.0,AUTOMATIC,front wheel drive,2.0,Hatchback,Compact,2dr Hatchback,29,20,873,19390
Infiniti,Q60 Coupe,2015,premium unleaded (recommended),330.0,6.0,AUTOMATIC,rear wheel drive,2.0,"Luxury,High-Performance",Midsize,Coupe,27,19,190,49650
Dodge,Ram Pickup 1500,2010,regular unleaded,390.0,8.0,AUTOMATIC,four wheel drive,4.0,,Large,Crew Cab Pickup,18,13,1851,42650
Toyota,Tundra,2017,regular unleaded,381.0,8.0,AUTOMATIC,rear wheel drive,4.0,,Large,Extended Cab Pickup,18,13,2031,33430
Plymouth,Voyager,1998,regular unleaded,150.0,6.0,AUTOMATIC,front wheel drive,4.0,,Midsize,Passenger Minivan,24,17,535,2000
Subaru,Legacy,2016,regular unleaded,175.0,4.0,AUTOMATIC,all wheel drive,4.0,,Midsize,Sedan,36,26,640,26845
Audi,allroad,2015,premium unleaded (recommended),220.0,4.0,AUTOMATIC,all wheel drive,4.0,Luxury,Midsize,Wagon,28,21,3105,49800
Toyota,Previa,1995,regular unleaded,138.0,4.0,AUTOMATIC,all wheel drive,3.0,,Compact,Passenger Minivan,19,15,2031,2088
Volkswagen,GTI,2013,premium unleaded (recommended),200.0,4.0,MANUAL,front wheel drive,2.0,"Hatchback,Performance",Compact,2dr Hatchback,31,21,873,24200
Nissan,Rogue,2015,regular unleaded,170.0,4.0,AUTOMATIC,front wheel drive,4.0,Crossover,Midsize,4dr SUV,33,26,2009,23040
Infiniti,G Coupe,2011,premium unleaded (recommended),330.0,6.0,AUTOMATIC,rear wheel drive,2.0,Luxury,Midsize,Coupe,27,19,190,37150
Ford,F-150,2016,flex-fuel (unleaded/E85),282.0,6.0,AUTOMATIC,four wheel drive,2.0,Flex Fuel,Large,Regular Cab Pickup,23,17,5657,35330
Suzuki,Grand Vitara,2011,regular unleaded,166.0,4.0,MANUAL,rear wheel drive,4.0,Crossover,Compact,4dr SUV,26,19,481,19299
GMC,Yukon,2016,premium unleaded (recommended),420.0,8.0,AUTOMATIC,four wheel drive,4.0,Performance,Large,4dr SUV,21,15,549,68325
Volvo,C30,2011,premium unleaded (recommended),227.0,5.0,MANUAL,front wheel drive,2.0,"Hatchback,Luxury,Performance",Compact,2dr Hatchback,29,21,870,27100
Toyota,4Runner,2015,regular unleaded,270.0,6.0,AUTOMATIC,four wheel drive,4.0,,Midsize,4dr SUV,21,17,2031,37825
Honda,Civic del Sol,1997,regular unleaded,160.0,4.0,MANUAL,front wheel drive,2.0,"Factory Tuner,Performance",Compact,Coupe,27,23,2202,2410
Toyota,Supra,1996,regular unleaded,320.0,6.0,AUTOMATIC,rear wheel drive,2.0,Performance,Compact,Coupe,22,16,2031,18255
Nissan,Murano,2016,regular unleaded,260.0,6.0,AUTOMATIC,all wheel drive,4.0,Crossover,Midsize,4dr SUV,28,21,2009,38730
Buick,Roadmaster,1994,regular unleaded,260.0,8.0,AUTOMATIC,rear wheel drive,4.0,,Large,Wagon,23,15,155,2000
Kia,Forte,2016,regular unleaded,201.0,4.0,AUTOMATIC,front wheel drive,2.0,Performance,Compact,Coupe,30,22,1720,21690
Honda,Accord,2017,regular unleaded,185.0,4.0,AUTOMATIC,front wheel drive,4.0,,Midsize,Sedan,36,27,2202,23155
Dodge,Dakota,2009,regular unleaded,210.0,6.0,AUTOMATIC,four wheel drive,4.0,Flex Fuel,Compact,Extended Cab Pickup,18,14,1851,29985
Toyota,Yaris,2017,regular unleaded,106.0,4.0,AUTOMATIC,front wheel drive,2.0,Hatchback,Compact,2dr Hatchback,35,30,2031,16910
Mercedes-Benz,ML55 AMG,2000,regular unleaded,342.0,8.0,AUTOMATIC,all wheel drive,4.0,"Factory Tuner,Luxury,Performance",Midsize,4dr SUV,16,12,617,5650
Mercedes-Benz,E-Class,2017,premium unleaded (required),329.0,6.0,AUTOMATIC,rear wheel drive,2.0,"Luxury,Performance",Midsize,Convertible,29,20,617,62600
Ford,F-250,1999,regular unleaded,220.0,8.0,MANUAL,four wheel drive,4.0,,Large,Extended Cab Pickup,16,12,5657,3572
Mercedes-Benz,E-Class,2017,premium unleaded (required),329.0,6.0,AUTOMATIC,all wheel drive,2.0,"Luxury,Performance",Midsize,Coupe,28,20,617,57050
Volkswagen,Routan,2010,regular unleaded,251.0,6.0,AUTOMATIC,front wheel drive,4.0,,Midsize,Passenger Minivan,25,17,873,36600
Acura,TSX,2014,premium unleaded (recommended),201.0,4.0,AUTOMATIC,front wheel drive,4.0,Luxury,Midsize,Sedan,31,22,204,30635
Cadillac,Allante,1992,regular unleaded,200.0,8.0,AUTOMATIC,front wheel drive,2.0,"Luxury,Performance",Compact,Convertible,20,14,1624,2234
Lamborghini,Aventador,2015,premium unleaded (required),720.0,12.0,AUTOMATED_MANUAL,all wheel drive,2.0,"Exotic,High-Performance",Midsize,Convertible,16,10,1158,548800
Volvo,S60,2016,regular unleaded,250.0,5.0,AUTOMATIC,all wheel drive,4.0,"Luxury,Performance",Midsize,Sedan,29,20,870,35650
Lincoln,MKC,2015,regular unleaded,240.0,4.0,AUTOMATIC,all wheel drive,4.0,"Crossover,Luxury",Compact,4dr SUV,26,19,61,35595
Hyundai,Tucson,2016,regular unleaded,175.0,4.0,AUTOMATED_MANUAL,all wheel drive,4.0,Crossover,Compact,4dr SUV,31,25,1439,25550
Ford,Explorer Sport Trac,2009,regular unleaded,292.0,8.0,AUTOMATIC,four wheel drive,4.0,Crossover,Compact,Crew Cab Pickup,19,14,5657,33670
Subaru,Forester,2017,regular unleaded,170.0,4.0,AUTOMATIC,all wheel drive,4.0,Crossover,Midsize,4dr SUV,32,26,640,25995
Volkswagen,GTI,2012,premium unleaded (recommended),200.0,4.0,MANUAL,front wheel drive,2.0,"Hatchback,Performance",Compact,2dr Hatchback,31,21,873,23995
Volkswagen,New Beetle,2009,regular unleaded,150.0,5.0,AUTOMATIC,front wheel drive,2.0,Hatchback,Compact,2dr Hatchback,29,20,873,19390
BMW,1 Series,2013,premium unleaded (required),230.0,6.0,MANUAL,rear wheel drive,2.0,"Luxury,Performance",Compact,Coupe,28,19,3916,31500
Mercedes-Benz,C-Class,2017,premium unleaded (required),241.0,4.0,AUTOMATIC,rear wheel drive,4.0,Luxury,Midsize,Sedan,34,24,617,41675
Ford,Transit Wagon,2017,regular unleaded,275.0,6.0,AUTOMATIC,rear wheel drive,3.0,Diesel,Midsize,Passenger Van,19,14,5657,38165
Audi,allroad quattro,2004,regular unleaded,250.0,6.0,AUTOMATIC,all wheel drive,4.0,"Crossover,Luxury,Performance",Midsize,Wagon,20,15,3105,39950
Cadillac,ATS Coupe,2017,premium unleaded (recommended),272.0,4.0,AUTOMATIC,all wheel drive,2.0,"Luxury,Performance",Compact,Coupe,30,22,1624,43395
Acura,TLX,2017,premium unleaded (recommended),206.0,4.0,AUTOMATED_MANUAL,front wheel drive,4.0,Luxury,Midsize,Sedan,35,24,204,35950
Land Rover,Range Rover Evoque,2017,premium unleaded (recommended),240.0,4.0,AUTOMATIC,all wheel drive,4.0,"Crossover,Luxury",Compact,4dr SUV,29,21,258,51000
Hyundai,Accent,2015,regular unleaded,137.0,4.0,MANUAL,front wheel drive,4.0,Hatchback,Compact,4dr Hatchback,38,27,1439,14995
Chevrolet,Silverado 1500,2016,regular unleaded,355.0,8.0,AUTOMATIC,four wheel drive,4.0,,Large,Crew Cab Pickup,22,16,1385,53015
Volkswagen,Rabbit,2008,regular unleaded,170.0,5.0,AUTOMATIC,front wheel drive,2.0,Hatchback,Compact,2dr Hatchback,29,21,873,16675
Chrysler,Le Baron,1995,regular unleaded,141.0,6.0,AUTOMATIC,front wheel drive,2.0,,Compact,Convertible,26,18,1013,2000
Dodge,Magnum,2006,regular unleaded,250.0,6.0,AUTOMATIC,all wheel drive,4.0,,Large,Wagon,22,15,1851,29100
Pontiac,G6,2009,regular unleaded,252.0,6.0,AUTOMATIC,front wheel drive,2.0,Performance,Midsize,Coupe,26,17,210,28960
Hyundai,Sonata,2016,regular unleaded,178.0,4.0,AUTOMATED_MANUAL,front wheel drive,4.0,,Midsize,Sedan,38,28,1439,23725
Suzuki,Forenza,2008,regular unleaded,127.0,4.0,AUTOMATIC,front wheel drive,4.0,,Compact,Sedan,28,19,481,16089
Suzuki,X-90,1998,regular unleaded,95.0,4.0,MANUAL,four wheel drive,2.0,,Compact,2dr SUV,26,22,481,2000
Chevrolet,Black Diamond Avalanche,2013,flex-fuel (unleaded/E85),320.0,8.0,AUTOMATIC,rear wheel drive,4.0,"Crossover,Flex Fuel",Large,Crew Cab Pickup,21,15,1385,38625
Nissan,Titan,2017,regular unleaded,390.0,8.0,AUTOMATIC,four wheel drive,4.0,,Large,Crew Cab Pickup,21,15,2009,49460
Buick,Lucerne,2009,flex-fuel (unleaded/E85),227.0,6.0,AUTOMATIC,front wheel drive,4.0,Flex Fuel,Large,Sedan,26,17,155,35770
Dodge,RAM 150,1992,regular unleaded,230.0,8.0,MANUAL,four wheel drive,2.0,,Large,Extended Cab Pickup,15,12,1851,2000
Ford,Transit Wagon,2016,flex-fuel (unleaded/E85),275.0,6.0,AUTOMATIC,rear wheel drive,3.0,"Flex Fuel,Diesel",Large,Passenger Van,19,14,5657,41030
Ford,E-Series Wagon,2014,flex-fuel (unleaded/E85),255.0,8.0,AUTOMATIC,rear wheel drive,3.0,Flex Fuel,Midsize,Passenger Van,15,11,5657,36020
Saab,9-4X,2011,premium unleaded (required),265.0,6.0,AUTOMATIC,front wheel drive,4.0,"Crossover,Luxury",Midsize,4dr SUV,25,18,376,33380
Acura,Integra,2000,regular unleaded,140.0,4.0,MANUAL,front wheel drive,4.0,Luxury,Compact,Sedan,28,22,204,3222
Cadillac,CTS Coupe,2014,regular unleaded,318.0,6.0,AUTOMATIC,all wheel drive,2.0,"Luxury,Performance",Midsize,Coupe,27,18,1624,49995
Cadillac,Escalade ESV,2015,flex-fuel (unleaded/E85),420.0,8.0,AUTOMATIC,four wheel drive,4.0,"Flex Fuel,Luxury,Performance",Large,4dr SUV,20,14,1624,82570
Hyundai,Azera,2015,regular unleaded,293.0,6.0,AUTOMATIC,front wheel drive,4.0,Performance,Midsize,Sedan,29,20,1439,34000
Kia,Sorento,2017,regular unleaded,240.0,4.0,AUTOMATIC,all wheel drive,4.0,Crossover,Midsize,4dr SUV,25,19,1720,33300
Honda,CR-Z,2015,regular unleaded,130.0,4.0,AUTOMATIC,front wheel drive,2.0,"Hatchback,Hybrid",Compact,2dr Hatchback,39,36,2202,20795
Oldsmobile,Cutlass Calais,1990,regular unleaded,160.0,4.0,AUTOMATIC,front wheel drive,4.0,,Compact,Sedan,28,20,26,2000
Volkswagen,Fox,1992,regular unleaded,81.0,4.0,MANUAL,front wheel drive,4.0,,Compact,Sedan,30,22,873,2000
Chevrolet,Silverado 1500,2015,flex-fuel (unleaded/E85),285.0,6.0,AUTOMATIC,rear wheel drive,2.0,Flex Fuel,Large,Regular Cab Pickup,24,18,1385,28545
Chevrolet,Malibu Maxx,2006,regular unleaded,201.0,6.0,AUTOMATIC,front wheel drive,4.0,Hatchback,Midsize,4dr Hatchback,28,20,1385,23465
Mercedes-Benz,S-Class,2016,premium unleaded (required),577.0,8.0,AUTOMATIC,all wheel drive,4.0,"Factory Tuner,Luxury,High-Performance",Large,Sedan,23,15,617,143250
Mazda,Protege5,2003,regular unleaded,130.0,4.0,MANUAL,front wheel drive,4.0,,Compact,Wagon,28,22,586,16895
Volkswagen,Golf GTI,2016,premium unleaded (recommended),210.0,4.0,MANUAL,front wheel drive,2.0,"Hatchback,Performance",Compact,2dr Hatchback,34,25,873,28025
GMC,Yukon,2015,premium unleaded (recommended),420.0,8.0,AUTOMATIC,rear wheel drive,4.0,,Large,4dr SUV,21,15,549,64520
Volkswagen,Beetle Convertible,2016,premium unleaded (recommended),210.0,4.0,AUTOMATED_MANUAL,front wheel drive,2.0,Performance,Compact,Convertible,31,23,873,32670
Subaru,B9 Tribeca,2007,premium unleaded (required),245.0,6.0,AUTOMATIC,all wheel drive,4.0,Crossover,Midsize,4dr SUV,21,16,640,37295
Land Rover,Range Rover Evoque,2015,premium unleaded (recommended),240.0,4.0,AUTOMATIC,all wheel drive,4.0,"Crossover,Luxury",Compact,4dr SUV,30,21,258,48900
BMW,ALPINA B7,2015,premium unleaded (required),540.0,8.0,AUTOMATIC,rear wheel drive,4.0,"Factory Tuner,Luxury,High-Performance",Large,Sedan,25,16,3916,132200
Chevrolet,Captiva Sport,2013,flex-fuel (unleaded/E85),180.0,4.0,AUTOMATIC,front wheel drive,4.0,"Crossover,Flex Fuel",Midsize,4dr SUV,28,20,1385,24155
Nissan,Xterra,2013,regular unleaded,261.0,6.0,AUTOMATIC,rear wheel drive,4.0,,Midsize,4dr SUV,22,16,2009,24850
Mitsubishi,Raider,2008,regular unleaded,210.0,6.0,MANUAL,rear wheel drive,4.0,,Compact,Extended Cab Pickup,20,16,436,20490
Nissan,Juke,2017,premium unleaded (recommended),188.0,4.0,AUTOMATIC,front wheel drive,4.0,"Crossover,Hatchback",Compact,4dr Hatchback,32,28,2009,22550
Honda,Civic,2017,regular unleaded,174.0,4.0,AUTOMATIC,front wheel drive,4.0,Performance,Midsize,Sedan,42,32,2202,24800
Ferrari,458 Italia,2014,premium unleaded (required),562.0,8.0,AUTOMATED_MANUAL,rear wheel drive,2.0,"Exotic,High-Performance",Compact,Coupe,17,13,2774,233509
Honda,Element,2009,regular unleaded,166.0,4.0,AUTOMATIC,front wheel drive,4.0,Crossover,Compact,4dr SUV,25,20,2202,24085
Land Rover,Range Rover,2016,diesel,254.0,6.0,AUTOMATIC,four wheel drive,4.0,"Diesel,Luxury",Large,4dr SUV,29,22,258,93450
Chevrolet,C/K 1500 Series,1997,regular unleaded,230.0,8.0,MANUAL,four wheel drive,2.0,,Large,Extended Cab Pickup,17,11,1385,3046
Buick,Encore,2015,regular unleaded,138.0,4.0,AUTOMATIC,front wheel drive,4.0,Crossover,Compact,4dr SUV,33,25,155,29435
BMW,2 Series,2017,premium unleaded (recommended),335.0,6.0,AUTOMATIC,all wheel drive,2.0,"Factory Tuner,Luxury,High-Performance",Compact,Coupe,31,21,3916,46450
Toyota,Celica,2005,regular unleaded,140.0,4.0,MANUAL,front wheel drive,2.0,Hatchback,Compact,2dr Hatchback,30,23,2031,17670
Chevrolet,Spark EV,2014,electric,140.0,0.0,DIRECT_DRIVE,front wheel drive,4.0,Hatchback,Compact,4dr Hatchback,109,128,1385,27010
Cadillac,ATS Coupe,2015,flex-fuel (unleaded/E85),321.0,6.0,AUTOMATIC,rear wheel drive,2.0,"Flex Fuel,Luxury,High-Performance",Compact,Coupe,28,18,1624,50325
Chevrolet,Silverado 1500,2017,flex-fuel (unleaded/E85),285.0,6.0,AUTOMATIC,four wheel drive,4.0,Flex Fuel,Large,Extended Cab Pickup,22,17,1385,39965
GMC,Sierra 1500 Hybrid,2011,regular unleaded,332.0,8.0,AUTOMATIC,four wheel drive,4.0,Hybrid,Large,Crew Cab Pickup,23,20,549,48575
Volvo,960,1995,regular unleaded,181.0,6.0,AUTOMATIC,rear wheel drive,4.0,Luxury,Midsize,Wagon,23,15,870,2000
Nissan,200SX,1998,regular unleaded,140.0,4.0,MANUAL,front wheel drive,2.0,Performance,Compact,Coupe,28,20,2009,2073
Mazda,B-Series Pickup,1999,flex-fuel (unleaded/E85),150.0,6.0,MANUAL,four wheel drive,2.0,Flex Fuel,Compact,Extended Cab Pickup,20,16,586,3214
Dodge,Colt,1993,regular unleaded,92.0,4.0,MANUAL,front wheel drive,4.0,,Compact,Sedan,36,28,1851,2000
Honda,Accord,2017,regular unleaded,185.0,4.0,AUTOMATIC,front wheel drive,2.0,,Midsize,Coupe,34,26,2202,28000
GMC,Sonoma,2003,flex-fuel (unleaded/E85),120.0,4.0,MANUAL,rear wheel drive,2.0,Flex Fuel,Compact,Regular Cab Pickup,25,19,549,14770
Nissan,Titan,2014,regular unleaded,317.0,8.0,AUTOMATIC,four wheel drive,4.0,Flex Fuel,Large,Crew Cab Pickup,17,12,2009,37320
BMW,4 Series Gran Coupe,2017,premium unleaded (recommended),248.0,4.0,AUTOMATIC,rear wheel drive,4.0,"Luxury,Performance",Midsize,Sedan,34,23,3916,41950
Mitsubishi,Eclipse,2012,regular unleaded,162.0,4.0,AUTOMATIC,front wheel drive,2.0,Hatchback,Compact,2dr Hatchback,28,20,436,24699
GMC,Sierra 1500 Classic,2007,flex-fuel (unleaded/E85),295.0,8.0,AUTOMATIC,four wheel drive,4.0,Flex Fuel,Large,Extended Cab Pickup,17,13,549,27060
Chevrolet,Silverado 1500 Classic,2007,regular unleaded,195.0,6.0,MANUAL,four wheel drive,2.0,Flex Fuel,Large,Regular Cab Pickup,19,14,1385,19620
Volkswagen,Touareg,2016,premium unleaded (recommended),280.0,6.0,AUTOMATIC,all wheel drive,4.0,"Crossover,Performance",Midsize,4dr SUV,23,17,873,51450
Dodge,Ram Pickup 1500,2008,regular unleaded,215.0,6.0,MANUAL,rear wheel drive,2.0,Flex Fuel,Large,Regular Cab Pickup,19,16,1851,22435
Ford,Escort,2002,regular unleaded,130.0,4.0,MANUAL,front wheel drive,2.0,,Compact,Coupe,31,23,5657,12815
Porsche,Cayenne,2016,premium unleaded (required),570.0,8.0,AUTOMATIC,all wheel drive,4.0,"Crossover,Luxury,High-Performance",Midsize,4dr SUV,21,14,1715,157300
Ford,Focus,2017,flex-fuel (unleaded/E85),160.0,4.0,AUTOMATED_MANUAL,front wheel drive,4.0,"Hatchback,Flex Fuel",Compact,4dr Hatchback,40,27,5657,21675
Chrysler,300,2016,regular unleaded,292.0,6.0,AUTOMATIC,rear wheel drive,4.0,Performance,Large,Sedan,31,19,1013,42690
Chrysler,300,2016,regular unleaded,292.0,6.0,AUTOMATIC,rear wheel drive,4.0,,Large,Sedan,31,19,1013,32260
Subaru,B9 Tribeca,2006,premium unleaded (required),250.0,6.0,AUTOMATIC,all wheel drive,4.0,Crossover,Midsize,4dr SUV,21,16,640,30695
Nissan,Versa,2017,regular unleaded,109.0,4.0,AUTOMATIC,front wheel drive,4.0,,Compact,Sedan,39,31,2009,14130
Hyundai,Elantra Touring,2012,regular unleaded,138.0,4.0,AUTOMATIC,front wheel drive,4.0,Hatchback,Compact,4dr Hatchback,30,23,1439,17195
Audi,S4,2014,premium unleaded (required),333.0,6.0,MANUAL,all wheel drive,4.0,"Factory Tuner,Luxury,High-Performance",Midsize,Sedan,26,17,3105,54000
Mercedes-Benz,C36 AMG,1997,regular unleaded,276.0,6.0,AUTOMATIC,rear wheel drive,4.0,"Factory Tuner,Luxury,Performance",Compact,Sedan,22,16,617,4330
Audi,Cabriolet,1996,regular unleaded,172.0,6.0,AUTOMATIC,front wheel drive,2.0,Luxury,Compact,Convertible,22,17,3105,2631
Saab,9-3 Griffin,2012,flex-fuel (premium unleaded recommended/E85),220.0,4.0,AUTOMATIC,front wheel drive,4.0,"Flex Fuel,Luxury",Compact,Wagon,28,18,376,31180
Volkswagen,New Beetle,2010,regular unleaded,150.0,5.0,AUTOMATIC,front wheel drive,2.0,Hatchback,Compact,2dr Hatchback,29,20,873,20390
Ford,Freestar,2007,regular unleaded,201.0,6.0,AUTOMATIC,front wheel drive,4.0,,Midsize,Passenger Minivan,21,15,5657,26665
Toyota,Yaris,2016,regular unleaded,106.0,4.0,MANUAL,front wheel drive,4.0,Hatchback,Compact,4dr Hatchback,37,30,2031,16870
Plymouth,Neon,1999,regular unleaded,132.0,4.0,MANUAL,front wheel drive,4.0,,Compact,Sedan,36,24,535,2000
Mazda,5,2013,regular unleaded,157.0,4.0,AUTOMATIC,front wheel drive,4.0,,Compact,Passenger Minivan,28,22,586,20940
Volkswagen,Jetta Hybrid,2013,premium unleaded (required),170.0,4.0,AUTOMATED_MANUAL,front wheel drive,4.0,Hybrid,Midsize,Sedan,48,42,873,24995
Toyota,Venza,2013,regular unleaded,268.0,6.0,AUTOMATIC,all wheel drive,4.0,"Crossover,Performance",Midsize,Wagon,25,18,2031,39020
FIAT,500,2016,premium unleaded (recommended),101.0,4.0,MANUAL,front wheel drive,2.0,Hatchback,Compact,2dr Hatchback,40,31,819,21295
Ford,Transit Wagon,2016,flex-fuel (unleaded/E85),275.0,6.0,AUTOMATIC,rear wheel drive,3.0,Flex Fuel,Midsize,Passenger Van,19,14,5657,34470
Porsche,Cayenne,2015,diesel,240.0,6.0,AUTOMATIC,all wheel drive,4.0,"Crossover,Luxury,Diesel",Midsize,4dr SUV,29,20,1715,61700
Chevrolet,Aveo,2010,regular unleaded,108.0,4.0,MANUAL,front wheel drive,4.0,Hatchback,Compact,4dr Hatchback,35,27,1385,14250
Toyota,Avalon,2015,regular unleaded,268.0,6.0,AUTOMATIC,front wheel drive,4.0,Performance,Midsize,Sedan,31,21,2031,37170
Mercedes-Benz,AMG GT,2017,premium unleaded (required),503.0,8.0,AUTOMATIC,rear wheel drive,2.0,"Exotic,Factory Tuner,Luxury,High-Performance",Compact,Coupe,22,16,617,131200
Mercedes-Benz,SLK-Class,2014,premium unleaded (required),201.0,4.0,MANUAL,rear wheel drive,2.0,Luxury,Compact,Convertible,32,22,617,43525
Bentley,Arnage,2007,premium unleaded (required),500.0,8.0,AUTOMATIC,rear wheel drive,4.0,"Exotic,Factory Tuner,Luxury,High-Performance",Large,Sedan,15,10,520,242990
